Sentence	Label
Parliamo del tempo, che ne pensi?	fuoriCont
Posso inserire i dati della mia pressione sanguigna di questo mese?	richiestaInsDati
Non sono preoccupato per la mia pressione alta.	pazienteSereno
posso inserire i dati della mia pressione sanguigna di stasera?	richiestaInsDati
Quali sono i trattamenti disponibili per l’artrite?	fuoriContMed
Potrei controllare tutte le misurazioni della frequenza cardiaca che ho registrato?	richiestaStatsFreq
hai mai visitato il museo del louvre?	fuoriCont
Ho fatto nuove misurazioni: ecco la mia pressione sanguigna è 140/90 e il mio battito cardiaco è 75.	inserDatiTot
mostrarmi le misurazioni della frequenza cardiaca degli ultimi sette giorni	richiestaStatsFreq
vorrei registrare la mia ultima frequenza 	richiestaInsDati
Mi sento molto male, cosa dovrei fare?	pazienAllarmato
ho paura che la mia ipertensione possa causare danni ai miei reni.	pazienAllarmato
la mia pressione sanguigna è 140/90 e il mio battito cardiaco è 75.	inserDatiTot
posso registrare i dati della mia frequenza cardiaca di questa mattina?	richiestaInsDati
Vorrei emmorizzare i miei dati: la pressione sanguigna è 125/80 e la mia frequenza cardiaca è 68.	inserDatiTot
quali sono i rischi per la salute associati all’obesità?	fuoriContMed
il mio battito cardiaco è 70 battiti al minuto.	inserDatiFreq
Mi piacerebbe controllare le ultime letture della pressione che ho registrato nell’ultimo mese.	richiestaStatsPress
La mia pressione sanguigna è 140/90.	inserDatiPress
posso registrare i dettagli del mio consumo di tabacco?	richiestaInsDati
Come curo la botta presa alla schiena?	fuoriContMed
Sono molto rilassato riguardo alla mia ipertensione.	pazienteSereno
Potresti mostrarmi le mie misurazioni della pressione dell’ultima settimana?	richiestaStatsPress
Ho iniziato a fare yoga per aiutare a gestire lo stress.	inserDatiGener
Posso registrare i dati della mia frequenza cardiaca di questa settimana?	richiestaInsDati
Ho appena fatto un controllo, la mia pressione è 135/85 e il mio polso è 70.	inserDatiTot
La mia pressione sanguigna è 125/80 e la mia frequenza cardiaca è 68.	inserDatiTot
ho iniziato una nuova dieta povera di zuccheri.	inserDatiGener
Potrei controllare le misurazioni che ho registrato nelle ultime 4 settimane?	richiestaStatsGener
Sono molto nervoso per la mia ipertensione.	pazienAllarmato
come l’ipertensione può influenzare la mia vita quotidiana?	spiegazioni
il mio battito cardiaco è 70 battiti al minuto.	inserDatiFreq
il mio battito cardiaco è 75 battiti al minuto.	inserDatiFreq
Mi piacerebbe controllare l’ultima lettura del battito cardiaco che ho registrato.	richiestaStatsFreq
come l’alcol può influenzare il mio fegato?	fuoriContMed
La mia pressione oggi è 140/90.	inserDatiPress
 misurazioni della pressione sanguigna dell’ultima settimana in un grafico	richiestaStatsPress
mi sento molto sereno riguardo alla mia pressione alta.	pazienteSereno
Ue, assistente! Sono pronto per un altro giorno di monitoraggio della mia pressione sanguigna.	saluti
A presto, assistente! Spero tu possa continuare ad aiutarmi a gestire la mia ipertensione.	saluti
la mia pressione sanguigna è 140/90.	inserDatiPress
la mia pressione sanguigna è 125/80.	inserDatiPress
Qual è l'andamento delle misurazioni sulla pressione?	richiestaStatsPress
la mia frequenza cardiaca è 68 battiti al minuto.	inserDatiFreq
posso aggiungere i dati della mia pressione sanguigna di questa settimana?	richiestaInsDati
La mia pressione sanguigna è 120/80 e il mio battito cardiaco è 70.	inserDatiTot
la mia pressione sanguigna è 130/80.	inserDatiPress
posso registrare i dati della mia frequenza cardiaca di stasera?	richiestaInsDati
posso registrare i dati della mia frequenza cardiaca di domani?	richiestaInsDati
la mia pressione sanguigna è 135/85 e la mia frequenza cardiaca è 72.	inserDatiTot
Desidero consultare le mie letture più recenti della pressione.	richiestaStatsPress
sono molto tranquillo riguardo alla mia pressione alta.	pazienteSereno
qual è il tuo sport preferito?	fuoriCont
la mia frequenza cardiaca è 72 battiti al minuto.	inserDatiFreq
Dammi l'ultimo dato sulla frequenza cardiaca	richiestaStatsFreq
Ho 4 figli 	inserDatiGener
Salve, come puoi aiutarmi?	saluti
Ciao, come stai?	saluti
Ho paura che la mia pressione alta possa causare problemi seri.	pazienAllarmato
Ho fatto un incidente da giovane.	inserDatiGener
Ho un forte dolore al collo.	fuoriContMed
Desidero visualizzare tutti i miei dati sulla frequenza.	richiestaStatsFreq
quali cambiamenti nello stile di vita posso fare per gestire l’ipertensione?	spiegazioni
la mia pressione sanguigna è 130/80 e il mio battito cardiaco è 70.	inserDatiTot
Hai mai provato a dipingere?	fuoriCont
Vorrei dare un’occhiata alle ultime letture della frequenza cardiaca che ho inserito nell’ultimo mese.	richiestaStatsFreq
ho paura che la mia pressione alta possa causare un attacco di cuore.	pazienAllarmato
Addio, assistente! Grazie per avermi fornito informazioni preziose sulla mia ipertensione.	saluti
